Field	Time	C7:X	C7:Y	C7:Z	CLAV:X	CLAV:Y	CLAV:Z	LANK:X	LANK:Y	LANK:Z	LBHD:X	LBHD:Y	LBHD:Z	LBWT:X	LBWT:Y	LBWT:Z	LELB:X	LELB:Y	LELB:Z	LFHD:X	LFHD:Y	LFHD:Z	LFIN:X	LFIN:Y	LFIN:Z	LFRM:X	LFRM:Y	LFRM:Z	LFWT:X	LFWT:Y	LFWT:Z	LHEE:X	LHEE:Y	LHEE:Z	LKNE:X	LKNE:Y	LKNE:Z	LMT5:X	LMT5:Y	LMT5:Z	LSHN:X	LSHN:Y	LSHN:Z	LSHO:X	LSHO:Y	LSHO:Z	LTHI:X	LTHI:Y	LTHI:Z	LTOE:X	LTOE:Y	LTOE:Z	LUPA:X	LUPA:Y	LUPA:Z	LWRA:X	LWRA:Y	LWRA:Z	LWRB:X	LWRB:Y	LWRB:Z	RANK:X	RANK:Y	RANK:Z	RBAC:X	RBAC:Y	RBAC:Z	RBHD:X	RBHD:Y	RBHD:Z	RBWT:X	RBWT:Y	RBWT:Z	RELB:X	RELB:Y	RELB:Z	RFHD:X	RFHD:Y	RFHD:Z	RFIN:X	RFIN:Y	RFIN:Z	RFRM:X	RFRM:Y	RFRM:Z	RFWT:X	RFWT:Y	RFWT:Z	RHEE:X	RHEE:Y	RHEE:Z	RKNE:X	RKNE:Y	RKNE:Z	RMT5:X	RMT5:Y	RMT5:Z	RSHN:X	RSHN:Y	RSHN:Z	RSHO:X	RSHO:Y	RSHO:Z	RTHI:X	RTHI:Y	RTHI:Z	RTOE:X	RTOE:Y	RTOE:Z	RUPA:X	RUPA:Y	RUPA:Z	RWRA:X	RWRA:Y	RWRA:Z	RWRB:X	RWRB:Y	RWRB:Z	STRN:X	STRN:Y	STRN:Z	T10:X	T10:Y	T10:Z
1	0.0000	61.573	-31.585	1430.4	-9999.99	-9999.99	-9999.99	-68.374	-17.158	103.72	-31.431	54.772	1575.1	-41.117	-79.092	948.12	-245.83	-18.189	1140.4	-0.25763	176.32	1610.8	-9999.99	-9999.99	-9999.99	-265.72	-28.854	1052.8	-76.722	110.47	948.38	-31.637	-86.305	28.7	-100.17	30.761	459.04	-102.69	84.038	36.532	-105.88	13.5	311.52	-85.893	38.18	1413.3	-132.42	82.235	721.92	-61.161	179.15	40.757	-212.34	5.7193	1248.4	-266.54	128.3	900.41	-354.29	29.988	897.16	145.1	-31.379	92.385	138.91	-93.57	1311.4	102.69	2.6793	1573.2	118.3	-77.752	942.81	351.25	-12.057	1132.1	132.47	178.33	1615.2	451.93	169.93	738.57	404.58	22.877	985.79	-9999.99	-9999.99	-9999.99	76.103	-89.294	36.326	181.06	46.476	453.63	197.19	75.073	36.274	173.07	14.788	271.75	-9999.99	-9999.99	-9999.99	210.22	86.769	615.88	158.6	172.82	42.354	293.54	48.589	1324.6	388.61	162.56	921.74	455.54	60.594	876.24	-9999.99	-9999.99	-9999.99	50.134	-104.85	1225.1
2	0.0083	61.521	-31.379	1430.6	-9999.99	-9999.99	-9999.99	-69.611	-16.694	104.6	-31.328	54.823	1575.5	-41.117	-78.679	947.97	-246.03	-18.085	1140.4	0.15458	176.47	1610.5	-9999.99	-9999.99	-9999.99	-265.56	-28.494	1052.8	-76.773	110.88	948.69	-31.688	-86.305	28.648	-100.01	30.915	458.99	-104.39	83.935	36.944	-105.88	13.448	311.68	-85.996	38.438	1413.2	-132.27	82.853	721.05	-61.161	179.31	40.808	-212.44	5.977	1248.5	-266.59	128.56	900.46	-354.03	30.4	897.27	145.1	-31.07	92.385	138.09	-92.746	1311.9	102.64	2.5763	1573.2	118.51	-77.34	942.92	351.4	-11.799	1131.8	132.42	178.12	1614.6	452.19	169.98	738.77	404.89	23.186	986.2	-9999.99	-9999.99	-9999.99	76	-89.036	36.635	181.11	46.476	453.68	197.29	75.227	36.222	172.97	14.839	271.59	-9999.99	-9999.99	-9999.99	210.12	86.821	616.19	158.7	172.71	42.457	293.33	48.692	1324.8	389.02	162.61	921.74	455.69	60.543	876.14	-9999.99	-9999.99	-9999.99	49.928	-104.6	1225.2
3	0.0167	61.573	-31.224	1430.6	-9999.99	-9999.99	-9999.99	-70.023	-16.54	104.91	-31.379	55.029	1575.7	-41.169	-78.267	947.76	-246.03	-17.776	1140.5	1.8549	175.65	1610	-9999.99	-9999.99	-9999.99	-265.51	-28.081	1052.5	-76.722	111.09	948.79	-31.637	-86.254	28.7	-99.96	31.224	458.78	-104.85	84.038	37.15	-105.78	13.603	311.88	-85.945	38.799	1413.2	-132.27	83.42	720.53	-61.161	179.41	40.86	-212.39	6.1315	1248.6	-266.49	128.76	900.56	-353.88	30.606	897.32	145.04	-31.07	92.437	137.88	-92.334	1312	102.64	2.5248	1573.1	118.56	-77.082	942.87	351.61	-11.542	1131.8	132.27	178.02	1614.7	452.55	170.24	738.98	405.2	23.702	986.51	-9999.99	-9999.99	-9999.99	76.103	-89.036	36.738	181.22	46.579	453.79	197.29	75.227	36.222	172.97	14.839	271.59	-9999.99	-9999.99	-9999.99	210.07	86.975	616.25	158.75	172.71	42.612	293.33	48.795	1325	389.33	162.87	922.05	455.54	60.027	875.52	-9999.99	-9999.99	-9999.99	49.825	-104.49	1225.2
4	0.0250	61.573	-31.018	1430.6	-9999.99	-9999.99	-9999.99	-69.817	-16.385	104.96	-31.585	55.287	1575.7	-41.169	-78.01	947.61	-245.98	-17.467	1140.8	3.2461	177.45	1610.5	-9999.99	-9999.99	-9999.99	-265.56	-27.824	1052.4	-76.618	111.24	948.79	-31.534	-86.305	28.906	-100.01	31.637	458.63	-104.91	84.09	37.201	-105.68	13.86	312.3	-85.842	38.902	1413.3	-132.16	83.935	720.43	-61.161	179.51	40.86	-212.29	6.1315	1248.5	-266.39	129.02	900.67	-353.93	30.915	897.37	145.15	-31.121	92.488	137.99	-92.179	1312	102.64	2.5248	1573.1	118.66	-76.618	942.66	351.87	-11.13	1131.8	132.11	177.81	1615.3	453.01	170.5	739.13	405.61	24.165	986.77	-9999.99	-9999.99	-9999.99	76.309	-89.191	36.789	181.27	46.682	453.84	197.24	75.227	36.274	172.92	14.942	271.54	-9999.99	-9999.99	-9999.99	210.02	87.078	616.09	158.8	172.77	42.663	293.23	49.001	1325.1	389.89	163.08	922.56	455.79	59.77	875.26	-9999.99	-9999.99	-9999.99	49.928	-104.29	1225.1
5	0.0333	61.521	-30.812	1430.7	44.982	136.8	1360.7	-69.302	-16.385	104.65	-31.585	55.441	1575.6	-41.323	-77.855	947.61	-246.03	-17.313	1141	4.2766	179.15	1610.8	-9999.99	-9999.99	-9999.99	-265.77	-27.463	1052.5	-76.464	111.4	948.79	-31.431	-86.357	29.06	-100.01	32.049	458.68	-104.85	84.038	37.15	-105.52	13.912	312.61	-85.79	38.953	1413.2	-131.91	84.347	720.64	-61.212	179.51	40.86	-212.34	6.3892	1248.4	-266.34	129.38	900.82	-353.93	31.379	897.42	145.2	-31.224	92.282	138.04	-92.076	1312	102.64	2.4732	1573.1	118.92	-76.155	942.56	352.02	-10.975	1131.9	131.91	177.76	1615.7	453.42	170.7	739.44	406.07	24.475	987.07	-9999.99	-9999.99	-9999.99	76.722	-89.294	36.583	181.42	46.785	453.79	196.83	75.639	36.326	172.77	15.097	271.59	195.02	61.109	1409.2	210.12	87.181	615.99	158.85	172.77	42.715	293.08	49.31	1325.1	390.36	163.23	923.03	455.59	60.027	875.37	-9999.99	-9999.99	-9999.99	50.083	-104.08	1225
6	0.0417	61.418	-30.555	1430.7	44.57	135.77	1360.4	-68.632	-16.643	104.18	-31.688	55.493	1575.5	-41.581	-77.546	947.71	-246.14	-17.055	1141	0.77288	176.53	1611.7	-330.9	116.91	718.06	-265.87	-27.051	1052.6	-76.206	111.66	948.95	-31.328	-86.305	29.163	-99.96	32.203	458.58	-104.65	84.244	37.304	-105.42	13.963	312.55	-85.738	39.159	1413	-131.85	84.708	720.74	-61.264	179.51	40.911	-212.34	6.9044	1248.5	-266.28	129.79	901.03	-353.98	31.843	897.42	145.04	-31.121	92.128	138.24	-91.922	1311.9	102.64	2.4217	1573.2	119.18	-75.949	942.56	352.18	-10.872	1132.2	131.91	177.76	1615.8	453.94	170.86	739.91	406.43	24.732	987.13	172.82	116.4	935.29	77.34	-89.345	35.965	181.58	47.043	453.63	195.69	76.515	36.274	172.77	15.149	271.64	194.77	60.027	1409.7	210.17	87.284	615.88	158.85	172.77	42.818	292.97	49.619	1325.3	390.67	163.18	923.34	454.71	60.285	875.57	42.869	169.47	1189.3	50.186	-103.93	1225.1
7	0.0500	61.367	-30.4	1430.8	44.621	135.67	1360.2	-68.168	-16.9	104.08	-31.894	55.493	1575.4	-41.736	-77.34	947.81	-246.14	-16.797	1141	-0.4122	175.6	1612.2	-330.95	117.38	718.11	-265.97	-26.896	1052.7	-76	111.86	949.05	-31.224	-86.305	29.163	-99.856	32.307	458.42	-104.49	84.399	37.459	-105.37	14.015	312.35	-85.738	39.417	1413	-131.8	84.863	720.69	-61.109	179.51	40.911	-212.34	7.2136	1248.5	-266.13	130.15	901.13	-354.19	32.358	897.42	144.94	-30.967	92.231	138.5	-91.612	1311.7	102.64	2.4217	1573.2	119.23	-75.691	942.66	352.33	-10.717	1132.5	132.01	177.87	1616	454.61	171.06	740.42	406.59	24.887	987.07	173.07	116.65	935.29	77.701	-89.397	35.604	181.63	47.249	453.53	195.08	77.031	36.377	172.77	15.2	271.59	194.51	59.615	1409.9	210.17	87.336	615.83	158.75	172.77	42.921	292.87	50.031	1325.5	390.98	163.13	923.65	454.56	60.543	876.04	42.921	169.67	1189.1	50.34	-103.72	1225.2
8	0.0583	61.315	-30.297	1430.8	45.085	136.34	1360.1	-68.529	-16.694	104.34	-32.049	55.545	1575.2	-41.736	-77.237	947.92	-246.19	-16.643	1141	-0.61831	175.39	1612.7	-331	117.84	718.16	-266.18	-26.69	1052.7	-75.897	111.91	949.05	-31.173	-86.305	29.112	-99.702	32.41	458.32	-104.44	84.296	37.408	-105.32	14.066	312.35	-85.842	39.675	1413	-131.7	85.017	720.69	-61.058	179.46	40.911	-212.39	7.3166	1248.5	-266.03	130.41	901.18	-354.34	32.719	897.52	144.84	-31.018	92.231	138.55	-91.355	1311.5	102.64	2.4217	1573.1	119.13	-75.433	942.61	352.64	-10.511	1132.7	131.96	177.81	1616.2	455.18	171.32	740.83	406.64	24.99	987.13	173.23	116.76	935.14	77.804	-89.5	35.45	181.63	47.507	453.48	195.13	77.031	36.583	172.77	15.252	271.54	194.3	59.77	1410	210.17	87.49	615.88	158.75	172.77	43.024	292.72	50.547	1325.5	391.08	163.08	923.9	455.07	60.955	876.45	42.818	169.78	1188.8	50.495	-103.41	1225.2
9	0.0667	61.212	-30.142	1430.8	45.549	137.26	1360.2	-69.25	-16.231	104.75	-32.1	55.493	1575.1	-41.839	-77.031	947.92	-246.45	-16.54	1141	-0.82441	175.14	1613.2	-331	118.25	718.16	-266.34	-26.381	1052.7	-75.691	112.17	948.95	-31.224	-86.305	29.06	-99.547	32.564	458.17	-104.49	84.244	37.408	-105.42	14.015	312.24	-85.893	39.829	1412.9	-131.54	85.223	720.79	-61.161	179.36	40.911	-212.49	7.3682	1248.5	-266.03	131.08	901.23	-354.39	32.925	897.52	144.79	-30.864	92.282	138.55	-91.149	1311.3	102.54	2.3702	1573.1	118.87	-75.124	942.45	352.9	-10.408	1132.9	131.8	177.71	1616.3	455.54	171.53	740.99	406.9	25.196	987.44	173.28	117.01	935.09	77.752	-89.603	35.347	181.58	47.816	453.42	195.08	77.082	36.583	172.77	15.406	271.39	194.25	60.182	1410.1	210.22	87.645	615.78	158.9	172.66	42.972	292.56	50.959	1325.5	391.13	163.08	923.85	455.43	61.264	876.6	42.715	169.98	1188.7	50.392	-102.95	1225
10	0.0750	61.109	-29.988	1430.8	45.6	137.78	1360.2	-69.456	-16.024	104.75	-32.1	55.493	1575	-42.045	-76.773	947.92	-246.65	-16.334	1141.1	-0.97899	174.83	1613.3	-331.05	118.66	718.11	-266.39	-26.123	1052.8	-75.33	112.74	948.74	-31.379	-86.357	29.009	-99.444	32.564	458.11	-104.55	84.141	37.408	-105.47	14.118	312.09	-85.996	39.932	1412.7	-131.49	85.532	720.69	-61.058	179.36	40.86	-212.65	7.6258	1248.3	-266.13	131.7	901.39	-354.5	33.131	897.57	144.84	-30.761	92.54	138.45	-90.891	1311.3	102.48	2.2671	1573.1	118.61	-74.867	942.4	353	-10.254	1133.1	131.54	177.76	1616.4	455.9	171.73	741.09	407.31	25.402	987.85	173.43	117.38	935.14	77.649	-89.551	35.398	181.52	48.125	453.22	194.97	76.979	36.377	172.87	15.561	271.33	194.25	60.388	1410.2	210.28	87.851	615.68	159.01	172.71	42.818	292.41	51.01	1325.6	391.18	163.13	923.65	455.74	61.418	876.86	42.612	170.14	1188.6	50.186	-102.48	1224.8
